0,22.009,49.26,0+57.527i,0+55.207i,33.867,0+46.268i,26.375,NaN,0+60.567i,16.033,0+57.864i,35.766,11.461,0+21.321i,56.858,0+37.5i,0+45.288i,670.73,128.84,0+140.73i,0+65.972i,0+94.042i,0+88.129i,0+7.7007i
372,1321.7,1446.5,1512.2,1599.7,1564.3,1516.7,1544.6,NaN,1213.6,1230.8,1157.5,1276.1,1273.5,1371.6,1370.2,1100.4,1694.2,1791.7,1838.4,1857.9,1877.4,1875.4,1849.1,718.65
378,1352.3,1425.6,1539.5,1592.3,1565.2,1525.9,1569.1,NaN,1208.7,1226.3,1157.9,1263.2,1296.7,1357.6,1426.9,1094.7,1689.5,1811.9,1858.5,1898.4,1923.4,1862.9,1883.5,714.99
384,1344,1448.7,1512.4,1572.3,1552.4,1519.9,1574.6,NaN,1232.8,1249.1,1146.7,1250.2,1301,1357.3,1417.2,1111.2,1688.6,1775.6,1842,1865.8,1941.9,1900.6,1844.7,728.15
390,1325.9,1460.2,1503.8,1566.8,1582.4,1569.1,1585.7,NaN,1212,1232.3,1143.2,1273.6,1300,1360.8,1418,1103.4,1695.7,1805.1,1836.6,1888.5,1901.1,1881.5,1866,689.21
396,1149.8,1239.4,1290.2,1335.9,1348.4,1300.3,1317.6,NaN,1053.9,1081,1017.5,1104.7,1133.1,1171.8,1206.2,924.59,1458.3,1550.4,1567.5,1649.8,1686.4,1651.3,1626.1,606.23
402,1359,1488.8,1530.9,1579.6,1590.3,1550.2,1570.8,NaN,1202.1,1231.9,1157.7,1258.1,1273.6,1354.1,1407,1094,1659,1812.6,1799,1862.8,1874.6,1815.9,1753.6,685
408,1345.6,1474.7,1517.7,1617.7,1561.1,1559.1,1575.3,NaN,1237.9,1253.3,1195.7,1278.5,1304,1381.5,1427.6,1105.4,1712.8,1843.8,1855.1,1908.8,1963.3,1891.7,1842.5,706.68
414,1340.2,1482.6,1535.3,1608,1610.4,1549.4,1577.5,NaN,1218.3,1249.1,1168.6,1287.3,1289.8,1362.8,1419.2,1113.4,1715.6,1790.9,1856.4,1910.6,1945.2,1881.3,1853.9,705.59
420,1326.5,1473.8,1527.2,1603.5,1590.3,1560.7,1550.8,NaN,1239.6,1258.6,1154.2,1271.3,1316.4,1384.6,1432.3,1096,1712.2,1784.9,1832.7,1900.8,1921.6,1911,1852.2,697.05
426,1340.4,1468.6,1513.4,1609.5,1610.3,1524.2,1571.3,NaN,1259,1241.1,1151.7,1278.3,1293.1,1365.4,1427.7,1106,1724.3,1802.2,1831.7,1902.5,1936.9,1895.2,1902,705.27
432,1346.2,1472.4,1529.9,1600.3,1605.8,1517.4,1582.5,NaN,1224.4,1228,1155.4,1293.6,1268.8,1384.9,1428.7,1092.9,1719.4,1820.7,1854.6,1885.7,1914.6,1911.8,1847.3,722.76
438,1324.4,1477,1527.5,1592.2,1605.3,1580.9,1563.3,NaN,1256,1251.6,1167.4,1292.7,1311.6,1365.1,1407.2,1104.6,1709.5,1800.8,1833.2,1902.7,1913.2,1901.4,1891.6,700.52
444,1328.9,1464.6,1554.5,1588.1,1598,1538.6,1595.9,NaN,1215.8,1265.2,1168.9,1266.3,1325.6,1379.1,1456.9,1115.2,1698.5,1802.1,1844.3,1905.9,1910.6,1893.3,1856.4,692.56
450,1335.1,1472.3,1544,1595.9,1604.7,1553.8,1551.3,NaN,1233.1,1262.9,1185.1,1279.7,1309.2,1399.7,1440.9,1136.1,1706.8,1838.2,1828.1,1900.7,1923.6,1880.1,1878,685.68
456,1324.3,1496.8,1555.2,1605.8,1618.7,1552.7,1555.5,NaN,1215.7,1240.6,1153.4,1287.8,1309,1384,1428.9,1084,1710.5,1800.2,1851.4,1871.8,1935,1871.1,1808,712.8
